material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,predicted_cost_usd,predicted_co2_footprint,shipping_category,material_safety,material_category
Headphones Model 399,22,8,78,1.97,14,16.38,11.71,12.9,78.88,22.79,Ultra-Light,Moderate,Headphones
Gaming Console Model 455,60,20,44,2.7,10,27.42,23.13,28.1,117.22,46.17,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 17,54,10,39,2.06,46,24.94,35.7,32.59,83.51,39.74,Ultra-Light,Moderate,Bluetooth Speaker
Gaming Console Model 428,59,7,73,1.43,52,13.76,39.81,35.19,80.71,21.06,Ultra-Light,Safe,Gaming Console
Tablet Model 83,34,14,47,0.83,6,25.8,10.84,16.78,87.87,28.23,Ultra-Light,Moderate,Tablet
Headphones Model 95,46,19,0,2.55,78,33.73,34.81,39.97,74.27,60.66,Ultra-Light,Safe,Headphones
Smartwatch Model 443,38,17,64,1.02,8,20.61,14.6,19.4,92.78,23.22,Ultra-Light,Moderate,Smartwatch
Bluetooth Speaker Model 78,57,12,60,1.78,61,16.97,37.27,37.93,85.95,29.9,Ultra-Light,Safe,Bluetooth Speaker
Hard Disk Drive Model 220,14,18,94,1.03,89,3.52,27.77,31.5,42.48,11.99,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 316,60,2,41,0.36,61,21.82,41.49,36.7,63.23,27.02,Ultra-Light,Safe,Camera DSLR
Tablet Model 425,17,6,34,0.8,46,25.68,18.99,18.83,54.85,33.99,Ultra-Light,Moderate,Tablet
Smartwatch Model 370,34,3,64,1.88,55,16.43,30.99,26.12,53.28,30.41,Ultra-Light,Safe,Smartwatch
Tablet Model 346,49,12,13,1.68,60,31.11,33.94,34.9,80.98,47.6,Ultra-Light,Safe,Tablet
Bluetooth Speaker Model 92,39,12,30,0.37,85,22.72,45.11,37.84,50.2,30.92,Ultra-Light,Safe,Bluetooth Speaker
Hard Disk Drive Model 131,13,8,35,1.56,40,26.44,13.47,16.32,52.09,36.31,Ultra-Light,Moderate,Hard Disk Drive
Gaming Console Model 418,20,13,56,1.6,32,20.96,14.07,18.01,61.57,29.68,Ultra-Light,Moderate,Gaming Console
Headphones Model 52,15,20,14,0.39,70,29.03,20.04,27.69,47.78,38.65,Ultra-Light,Safe,Headphones
Smartphone Model 193,37,9,2,0.98,75,32.49,35.79,33.8,51.56,47.17,Ultra-Light,Safe,Smartphone
Bluetooth Speaker Model 360,36,16,77,2.63,34,15.08,22.18,24.71,86.42,29.17,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 485,52,19,54,2.36,14,23.82,22.64,26.1,110.48,36.02,Ultra-Light,Moderate,Laptop
Power Bank Model 141,37,8,29,2.17,39,28.7,28.88,24.37,75.87,45.79,Ultra-Light,Moderate,Power Bank
Tablet Model 481,56,16,41,2.63,49,24.38,36.95,35.46,92.44,44.63,Ultra-Light,Moderate,Tablet
Camera DSLR Model 457,10,2,49,1.87,71,19.32,27.11,21.47,25.1,34.91,Ultra-Light,Safe,Camera DSLR
Smartphone Model 320,21,13,21,0.57,21,31.94,12.61,15.76,63.44,36.19,Ultra-Light,Moderate,Smartphone
Laptop Model 450,24,13,33,2.75,12,30.55,13.22,14.24,79.4,49.35,Ultra-Light,Moderate,Laptop
Smartwatch Model 156,19,12,32,1.76,81,23.36,22.71,29.64,43.12,40.68,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 81,36,7,54,1.57,48,19.94,23.0,26.11,56.11,30.11,Ultra-Light,Moderate,Bluetooth Speaker
Power Bank Model 128,31,9,68,1.03,10,19.22,12.81,15.45,80.52,22.59,Ultra-Light,Moderate,Power Bank
Gaming Console Model 358,18,5,6,0.75,73,31.35,25.8,25.69,28.94,42.96,Ultra-Light,Safe,Gaming Console
Laptop Model 291,54,3,38,0.59,71,21.85,38.43,37.31,61.44,28.75,Ultra-Light,Safe,Laptop
Gaming Console Model 139,58,16,74,0.66,88,9.4,48.29,46.2,75.29,15.8,Ultra-Light,Safe,Gaming Console
Hard Disk Drive Model 469,18,9,54,1.63,17,23.08,13.8,12.56,70.4,30.83,Ultra-Light,Moderate,Hard Disk Drive
Laptop Model 277,46,6,75,1.05,36,14.53,24.91,26.44,72.43,19.15,Ultra-Light,Moderate,Laptop
Power Bank Model 268,44,4,73,1.58,28,16.25,20.31,23.16,75.36,23.3,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 211,29,12,31,0.8,8,30.38,14.26,15.03,81.69,34.68,Ultra-Light,Moderate,Camera DSLR
Headphones Model 423,55,17,55,1.45,83,16.07,45.09,44.03,74.27,28.92,Ultra-Light,Safe,Headphones
Laptop Model 484,18,17,78,1.95,97,8.07,33.92,34.51,39.7,25.89,Ultra-Light,Safe,Laptop
Hard Disk Drive Model 277,35,15,47,0.62,90,17.27,42.98,38.41,49.39,26.17,Ultra-Light,Safe,Hard Disk Drive
Headphones Model 396,29,15,37,2.65,69,23.59,27.62,30.75,57.99,46.07,Ultra-Light,Safe,Headphones
Camera DSLR Model 319,22,6,85,0.87,3,14.72,4.5,9.82,78.83,13.12,Ultra-Light,Moderate,Camera DSLR
Smartphone Model 329,42,10,5,2.69,5,39.61,18.54,18.05,92.14,61.11,Ultra-Light,Moderate,Smartphone
Headphones Model 258,36,14,13,0.87,90,27.62,38.64,38.47,49.5,43.83,Ultra-Light,Safe,Headphones
Camera DSLR Model 462,46,8,91,0.4,14,11.54,22.71,21.54,96.19,6.5,Ultra-Light,Moderate,Camera DSLR
Power Bank Model 260,60,14,36,0.57,0,29.54,23.81,24.41,111.67,30.99,Ultra-Light,Moderate,Power Bank
Headphones Model 404,60,5,36,2.52,100,20.71,49.91,46.87,49.08,46.25,Ultra-Light,Safe,Headphones
Camera DSLR Model 24,52,9,61,2.77,17,21.66,25.41,24.28,92.47,38.99,Ultra-Light,Moderate,Camera DSLR
Bluetooth Speaker Model 131,58,20,76,1.71,81,10.13,44.73,45.29,77.42,23.35,Ultra-Light,Safe,Bluetooth Speaker
Smartphone Model 344,38,5,17,2.32,52,31.09,26.49,27.2,67.05,51.02,Ultra-Light,Safe,Smartphone
Laptop Model 131,38,17,88,1.22,59,8.43,33.01,32.12,68.19,15.62,Ultra-Light,Safe,Laptop
Laptop Model 255,17,12,87,2.13,28,12.38,9.31,15.63,68.5,21.72,Ultra-Light,Moderate,Laptop
Laptop Model 206,16,19,54,1.63,8,23.98,8.07,12.11,88.6,29.71,Ultra-Light,Moderate,Laptop
Laptop Model 45,43,19,13,1.15,58,30.99,27.83,34.13,77.1,43.02,Ultra-Light,Safe,Laptop
Camera DSLR Model 208,13,3,88,0.98,60,8.19,28.16,20.15,35.94,10.87,Ultra-Light,Safe,Camera DSLR
Smartphone Model 319,52,5,85,2.56,96,6.44,51.5,43.07,45.24,27.1,Ultra-Light,Safe,Smartphone
Gaming Console Model 266,42,13,94,0.92,100,2.35,46.08,42.81,45.01,10.83,Ultra-Light,Safe,Gaming Console
Hard Disk Drive Model 380,39,8,0,1.84,1,41.0,11.94,15.62,91.87,55.62,Ultra-Light,Moderate,Hard Disk Drive
Bluetooth Speaker Model 81,36,7,52,1.59,49,20.45,32.34,26.36,68.65,30.85,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 8,56,19,20,1.08,75,27.15,39.46,42.94,81.4,39.95,Ultra-Light,Safe,Bluetooth Speaker
Smartwatch Model 218,57,10,85,1.59,85,6.95,51.73,43.46,59.4,17.58,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 393,43,15,57,0.41,74,15.75,36.06,37.24,68.88,20.05,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 209,35,8,60,0.97,82,14.38,39.21,34.6,44.38,23.2,Ultra-Light,Safe,Power Bank
Smartphone Model 5,31,15,68,1.46,30,17.48,17.29,21.88,75.27,23.76,Ultra-Light,Moderate,Smartphone
Laptop Model 209,23,9,46,2.76,25,25.36,18.36,16.14,70.41,44.54,Ultra-Light,Moderate,Laptop
Headphones Model 469,23,13,87,1.04,23,12.22,14.53,16.89,74.13,12.15,Ultra-Light,Moderate,Headphones
Tablet Model 163,45,19,87,2.34,11,14.2,14.83,22.9,104.8,24.12,Ultra-Light,Moderate,Tablet
Laptop Model 35,47,17,65,0.75,5,20.45,15.07,21.84,112.44,20.98,Ultra-Light,Moderate,Laptop
Tablet Model 406,36,3,19,1.84,76,27.8,37.26,32.07,42.49,47.67,Ultra-Light,Safe,Tablet
Bluetooth Speaker Model 208,19,7,2,1.96,21,38.48,14.75,13.36,56.3,54.0,Ultra-Light,Moderate,Bluetooth Speaker
Smartwatch Model 65,48,20,6,2.14,42,35.28,21.55,31.98,87.87,54.67,Ultra-Light,Moderate,Smartwatch
Camera DSLR Model 483,29,14,75,3.0,28,16.5,12.25,20.2,76.95,32.75,Ultra-Light,Moderate,Camera DSLR
Headphones Model 427,35,10,100,2.81,64,5.29,28.14,30.33,61.38,22.3,Ultra-Light,Safe,Headphones
Power Bank Model 61,20,17,42,0.81,49,22.99,22.87,23.38,55.53,30.98,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 46,48,5,17,2.88,48,31.83,40.46,29.62,57.18,56.33,Ultra-Light,Moderate,Bluetooth Speaker
Headphones Model 296,52,20,3,0.93,77,31.96,36.34,42.31,72.71,45.85,Ultra-Light,Safe,Headphones
Hard Disk Drive Model 171,53,3,92,1.66,4,13.0,20.08,20.05,92.42,16.28,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 348,59,20,4,2.62,4,39.97,17.08,26.26,121.52,59.14,Ultra-Light,Moderate,Tablet
Power Bank Model 297,31,20,35,0.85,77,22.31,28.51,34.97,56.14,31.64,Ultra-Light,Safe,Power Bank
Hard Disk Drive Model 303,25,16,95,2.94,2,13.06,5.51,12.81,93.49,26.52,Ultra-Light,Moderate,Hard Disk Drive
Gaming Console Model 480,19,7,3,1.04,3,39.42,8.45,8.99,66.16,47.74,Ultra-Light,Moderate,Gaming Console
Laptop Model 269,22,12,95,0.53,30,8.82,16.03,18.12,68.77,6.12,Ultra-Light,Moderate,Laptop
Power Bank Model 363,32,10,21,0.32,75,26.39,28.87,32.4,45.34,35.38,Ultra-Light,Safe,Power Bank
Smartwatch Model 423,53,4,13,0.6,48,31.66,34.59,31.46,76.91,38.03,Ultra-Light,Moderate,Smartwatch
Gaming Console Model 307,56,4,17,1.67,5,35.4,26.21,21.6,98.85,47.62,Ultra-Light,Moderate,Gaming Console
Camera DSLR Model 139,55,19,11,2.91,96,28.85,46.9,47.56,72.58,59.32,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 378,10,15,9,1.14,32,34.78,13.58,15.08,64.24,46.42,Ultra-Light,Moderate,Camera DSLR
Camera DSLR Model 287,13,2,40,2.07,24,26.84,10.61,10.74,45.32,41.54,Ultra-Light,Moderate,Camera DSLR
Hard Disk Drive Model 479,57,19,22,0.7,7,33.12,25.82,26.34,110.65,36.83,Ultra-Light,Moderate,Hard Disk Drive
Headphones Model 337,50,14,68,1.51,55,15.01,32.19,34.52,84.96,23.42,Ultra-Light,Safe,Headphones
Power Bank Model 489,53,7,7,2.49,11,38.29,22.68,22.68,96.51,56.81,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 413,22,12,70,2.02,84,11.81,30.75,31.4,43.61,26.33,Ultra-Light,Safe,Bluetooth Speaker
Hard Disk Drive Model 15,17,10,85,1.99,12,14.49,10.94,11.15,66.75,22.11,Ultra-Light,Moderate,Hard Disk Drive
Smartphone Model 386,25,16,24,2.18,33,30.81,17.57,20.67,68.26,47.83,Ultra-Light,Moderate,Smartphone
Hard Disk Drive Model 206,14,4,38,1.96,58,23.98,21.99,20.11,36.69,39.6,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 114,22,15,65,0.67,80,12.9,30.98,31.35,42.63,19.46,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 19,41,11,8,0.99,88,29.39,44.02,38.95,59.53,45.45,Ultra-Light,Safe,Camera DSLR
Bluetooth Speaker Model 286,15,15,89,0.54,16,12.02,9.78,12.92,70.41,7.8,Ultra-Light,Moderate,Bluetooth Speaker
Smartphone Model 126,38,20,65,0.55,58,15.03,30.02,32.72,88.51,20.06,Ultra-Light,Safe,Smartphone
Headphones Model 134,48,20,99,1.76,56,5.76,28.58,35.54,84.39,13.1,Ultra-Light,Safe,Headphones
Headphones Model 420,52,16,93,2.39,60,7.53,36.4,36.84,78.0,22.18,Ultra-Light,Safe,Headphones
Smartphone Model 416,19,17,93,1.2,46,8.22,23.51,22.22,58.66,11.79,Ultra-Light,Moderate,Smartphone
Laptop Model 272,26,11,76,1.36,7,17.32,9.09,13.4,87.79,21.34,Ultra-Light,Moderate,Laptop
Headphones Model 486,44,15,91,1.88,85,5.33,36.51,40.12,71.17,18.89,Ultra-Light,Safe,Headphones
Laptop Model 451,43,18,22,0.69,32,30.61,23.33,27.45,78.07,35.85,Ultra-Light,Moderate,Laptop
Smartwatch Model 179,27,12,6,2.33,71,32.5,29.91,29.85,51.35,55.42,Ultra-Light,Safe,Smartwatch
Smartphone Model 76,34,12,39,1.52,28,26.41,18.27,21.67,74.9,37.58,Ultra-Light,Moderate,Smartphone
Tablet Model 177,15,12,90,1.73,16,12.44,10.45,11.99,65.69,16.89,Ultra-Light,Moderate,Tablet
Smartphone Model 393,14,19,24,1.95,74,26.57,27.2,27.86,41.74,48.56,Ultra-Light,Safe,Smartphone
Smartphone Model 447,21,2,48,2.53,33,23.82,14.75,15.72,50.86,41.2,Ultra-Light,Moderate,Smartphone
Laptop Model 49,29,3,37,2.87,11,29.52,13.23,13.22,78.94,49.81,Ultra-Light,Moderate,Laptop
Headphones Model 16,57,18,85,1.14,66,8.58,38.58,40.78,73.47,14.03,Ultra-Light,Safe,Headphones
Bluetooth Speaker Model 153,59,12,30,2.38,47,27.73,34.85,35.04,85.02,47.46,Ultra-Light,Moderate,Bluetooth Speaker
Smartphone Model 213,49,19,19,1.81,26,32.79,21.33,28.13,95.89,48.96,Ultra-Light,Moderate,Smartphone
Headphones Model 235,56,15,46,0.67,63,20.3,39.95,39.0,87.56,28.54,Ultra-Light,Safe,Headphones
Smartphone Model 125,47,14,74,2.88,93,10.23,42.32,42.77,50.12,33.25,Ultra-Light,Safe,Smartphone
Smartphone Model 7,13,20,59,1.69,67,16.61,23.88,26.05,52.7,27.6,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 94,13,17,40,0.92,34,25.15,13.48,17.16,65.94,33.94,Ultra-Light,Moderate,Hard Disk Drive
Power Bank Model 164,27,7,99,1.73,91,2.24,38.18,33.69,23.1,13.8,Ultra-Light,Safe,Power Bank
Smartphone Model 413,25,4,88,2.17,47,10.2,27.82,21.17,50.41,23.75,Ultra-Light,Moderate,Smartphone
Camera DSLR Model 423,16,6,21,0.48,80,25.99,26.61,27.03,34.57,34.73,Ultra-Light,Safe,Camera DSLR
Power Bank Model 357,30,20,65,0.88,53,15.73,26.39,28.62,72.0,21.88,Ultra-Light,Safe,Power Bank
Tablet Model 126,40,20,91,0.43,52,7.76,23.41,31.94,84.88,7.32,Ultra-Light,Safe,Tablet
Headphones Model 421,26,5,19,0.43,88,25.76,36.26,32.29,24.18,35.32,Ultra-Light,Safe,Headphones
Laptop Model 18,17,8,37,0.93,20,27.46,8.25,12.81,58.65,33.79,Ultra-Light,Moderate,Laptop
Hard Disk Drive Model 146,23,18,45,2.16,25,25.3,10.37,18.48,79.0,41.2,Ultra-Light,Moderate,Hard Disk Drive
Power Bank Model 355,30,15,78,1.87,63,11.42,27.21,29.72,65.01,24.68,Ultra-Light,Safe,Power Bank
Gaming Console Model 420,22,16,76,2.55,77,11.03,28.11,30.57,58.58,30.35,Ultra-Light,Safe,Gaming Console
Tablet Model 233,53,6,40,0.43,72,21.06,39.86,37.99,54.64,27.32,Ultra-Light,Safe,Tablet
Camera DSLR Model 164,46,13,42,0.77,67,21.16,33.57,35.98,67.23,29.94,Ultra-Light,Safe,Camera DSLR
Smartwatch Model 312,18,5,81,1.4,52,11.34,19.74,20.34,45.62,18.04,Ultra-Light,Safe,Smartwatch
Smartphone Model 410,40,3,71,1.92,96,10.25,42.91,38.46,34.01,25.65,Ultra-Light,Safe,Smartphone
Bluetooth Speaker Model 301,10,11,69,2.45,30,17.77,7.48,13.38,58.03,30.84,Ultra-Light,Moderate,Bluetooth Speaker
Power Bank Model 33,31,13,95,2.91,84,4.85,33.71,34.66,44.79,26.76,Ultra-Light,Safe,Power Bank
Smartphone Model 365,24,17,56,2.4,64,18.24,27.31,28.29,61.37,37.53,Ultra-Light,Safe,Smartphone
Bluetooth Speaker Model 390,53,18,75,2.66,74,11.7,38.08,41.15,77.86,32.06,Ultra-Light,Safe,Bluetooth Speaker
Gaming Console Model 411,18,6,42,1.76,27,25.76,14.82,14.29,51.46,36.09,Ultra-Light,Moderate,Gaming Console
Laptop Model 135,60,11,56,1.95,39,20.47,30.99,33.21,91.44,32.61,Ultra-Light,Moderate,Laptop
Headphones Model 367,59,7,71,0.59,62,12.85,39.78,37.81,74.95,16.24,Ultra-Light,Safe,Headphones
Smartwatch Model 22,15,9,99,2.39,52,6.53,23.71,20.14,39.1,19.98,Ultra-Light,Safe,Smartwatch
Hard Disk Drive Model 34,14,4,78,1.91,49,12.85,21.0,17.86,36.49,24.71,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 407,45,13,46,0.66,24,24.2,23.06,24.9,87.36,27.11,Ultra-Light,Moderate,Tablet
Hard Disk Drive Model 271,17,13,92,2.43,17,12.16,6.88,13.09,68.09,24.86,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 316,36,7,22,2.68,21,32.91,16.45,19.2,70.63,51.8,Ultra-Light,Moderate,Tablet
Smartphone Model 176,56,9,54,0.77,15,22.76,22.73,25.48,103.16,25.39,Ultra-Light,Moderate,Smartphone
Laptop Model 243,46,4,63,0.53,43,17.12,29.82,27.77,70.82,20.49,Ultra-Light,Moderate,Laptop
Power Bank Model 71,41,5,3,1.82,4,39.79,15.48,16.33,87.37,52.17,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 373,20,19,50,1.57,13,24.64,7.22,14.76,83.88,30.72,Ultra-Light,Moderate,Camera DSLR
Tablet Model 365,34,16,78,0.93,15,15.66,16.02,19.51,87.69,16.54,Ultra-Light,Moderate,Tablet
Headphones Model 400,14,2,50,0.73,59,19.54,23.8,20.04,32.6,24.54,Ultra-Light,Safe,Headphones
Hard Disk Drive Model 49,10,19,21,1.47,62,28.38,12.43,23.53,52.11,43.16,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 5,46,17,33,2.32,50,26.49,29.97,32.5,81.07,44.65,Ultra-Light,Moderate,Camera DSLR
Power Bank Model 336,60,15,49,2.06,24,24.14,24.04,30.44,100.65,36.91,Ultra-Light,Moderate,Power Bank
Headphones Model 488,48,12,54,0.82,22,22.09,23.62,25.18,97.0,23.57,Ultra-Light,Moderate,Headphones
Camera DSLR Model 481,28,13,71,1.15,33,16.09,16.08,21.13,71.46,21.45,Ultra-Light,Moderate,Camera DSLR
Smartphone Model 41,49,15,22,2.07,45,30.14,37.97,31.84,87.06,47.34,Ultra-Light,Moderate,Smartphone
Smartphone Model 400,16,4,93,0.65,100,2.49,35.38,31.5,9.35,7.13,Ultra-Light,Safe,Smartphone
Gaming Console Model 316,12,5,53,0.43,46,19.76,16.81,16.89,35.35,23.76,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 435,26,8,61,2.24,1,22.94,16.38,11.01,89.15,33.39,Ultra-Light,Moderate,Smartwatch
Smartphone Model 40,38,3,35,0.83,23,27.7,22.97,19.68,71.75,31.74,Ultra-Light,Moderate,Smartphone
Headphones Model 386,40,14,27,2.96,67,26.98,33.78,33.81,62.36,53.04,Ultra-Light,Safe,Headphones
Smartphone Model 444,54,19,17,0.41,87,26.45,46.46,45.34,71.26,35.38,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 63,11,17,14,1.05,10,35.43,5.41,10.44,71.25,40.87,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 424,29,17,12,0.73,100,26.84,34.95,39.29,44.13,40.19,Ultra-Light,Safe,Tablet
Smartphone Model 294,10,7,53,1.48,42,20.79,17.36,15.53,53.57,30.8,Ultra-Light,Moderate,Smartphone
Laptop Model 153,44,7,18,2.51,60,30.11,34.16,31.77,59.86,52.77,Ultra-Light,Safe,Laptop
Camera DSLR Model 83,36,20,29,1.79,51,27.27,31.35,30.08,88.72,41.62,Ultra-Light,Safe,Camera DSLR
Tablet Model 483,27,15,49,1.21,59,20.13,27.53,27.77,48.35,29.11,Ultra-Light,Safe,Tablet
Smartphone Model 151,54,14,44,0.51,85,18.61,44.55,43.57,68.85,25.91,Ultra-Light,Safe,Smartphone
Bluetooth Speaker Model 330,21,9,63,0.83,52,16.4,23.51,22.48,47.87,21.96,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 242,48,4,16,1.9,64,29.94,36.84,33.52,67.99,46.05,Ultra-Light,Safe,Power Bank
Bluetooth Speaker Model 94,44,5,53,2.07,34,21.94,19.86,24.84,66.87,35.36,Ultra-Light,Moderate,Bluetooth Speaker
Tablet Model 305,32,17,91,0.97,35,9.78,22.12,24.05,79.95,12.4,Ultra-Light,Moderate,Tablet
Gaming Console Model 450,31,15,34,2.87,54,26.12,29.37,27.67,60.14,49.47,Ultra-Light,Safe,Gaming Console
Camera DSLR Model 147,20,10,38,1.65,10,28.59,6.86,11.75,70.57,37.97,Ultra-Light,Moderate,Camera DSLR
Laptop Model 357,10,18,59,0.57,26,20.04,6.46,14.41,65.82,20.31,Ultra-Light,Moderate,Laptop
Bluetooth Speaker Model 62,12,16,88,0.81,36,10.49,14.39,17.08,60.97,10.13,Ultra-Light,Moderate,Bluetooth Speaker
Tablet Model 119,19,2,64,0.8,53,15.98,26.91,20.28,37.64,22.95,Ultra-Light,Safe,Tablet
Headphones Model 323,12,14,82,2.35,56,11.21,13.64,21.35,43.4,25.58,Ultra-Light,Safe,Headphones
Gaming Console Model 267,51,5,26,0.31,16,30.79,23.04,23.05,91.5,28.89,Ultra-Light,Moderate,Gaming Console
Smartphone Model 14,43,19,79,2.72,65,11.43,28.95,35.64,89.01,29.26,Ultra-Light,Safe,Smartphone
Headphones Model 299,36,2,24,2.88,32,31.33,20.4,20.67,58.3,53.75,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 428,26,15,52,1.49,19,23.39,14.88,17.38,73.03,30.5,Ultra-Light,Moderate,Hard Disk Drive
Power Bank Model 446,59,2,59,2.57,50,18.84,39.21,33.26,75.38,36.69,Ultra-Light,Moderate,Power Bank
Hard Disk Drive Model 4,37,8,68,2.33,90,12.0,39.97,37.1,51.1,31.54,Ultra-Light,Safe,Hard Disk Drive
Power Bank Model 396,13,11,32,0.86,29,28.02,11.61,14.42,57.2,34.82,Ultra-Light,Moderate,Power Bank
Gaming Console Model 359,20,14,70,2.05,71,13.13,26.28,27.94,50.28,27.64,Ultra-Light,Safe,Gaming Console
Smartphone Model 93,36,5,13,2.63,5,37.18,18.79,14.71,81.51,57.1,Ultra-Light,Moderate,Smartphone
Power Bank Model 277,45,9,91,1.18,40,9.41,29.43,27.82,81.86,13.19,Ultra-Light,Moderate,Power Bank
Laptop Model 412,11,13,94,2.95,49,8.67,15.06,18.91,47.71,26.44,Ultra-Light,Moderate,Laptop
Tablet Model 50,20,15,21,2.84,2,35.2,8.38,10.82,86.34,53.82,Ultra-Light,Moderate,Tablet
Laptop Model 114,39,15,23,1.47,100,23.98,37.92,42.18,48.14,43.12,Ultra-Light,Safe,Laptop
Laptop Model 353,58,9,89,2.56,7,14.14,23.21,23.92,102.08,26.12,Ultra-Light,Moderate,Laptop
Smartphone Model 32,14,3,20,0.87,81,26.42,27.15,25.77,31.63,38.48,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 74,48,9,58,1.26,62,17.16,35.66,34.36,65.44,27.49,Ultra-Light,Safe,Hard Disk Drive
Laptop Model 325,15,4,90,1.93,84,5.76,30.71,26.96,23.41,19.05,Ultra-Light,Safe,Laptop
Smartwatch Model 55,36,15,69,1.74,52,15.14,31.94,29.09,79.96,26.6,Ultra-Light,Safe,Smartwatch
Laptop Model 247,27,11,63,2.56,18,20.84,13.47,16.32,72.99,34.8,Ultra-Light,Moderate,Laptop
Camera DSLR Model 435,32,7,29,0.32,33,28.19,24.44,21.15,70.18,30.14,Ultra-Light,Moderate,Camera DSLR
Bluetooth Speaker Model 486,15,16,6,2.57,61,33.64,25.61,24.11,51.29,58.13,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 181,36,7,96,0.82,53,6.39,29.39,27.48,53.09,7.71,Ultra-Light,Safe,Bluetooth Speaker
Tablet Model 322,60,10,95,2.28,33,9.57,31.99,31.41,96.97,20.98,Ultra-Light,Moderate,Tablet
Smartphone Model 382,30,7,93,0.56,20,10.44,18.34,17.17,69.27,7.72,Ultra-Light,Moderate,Smartphone
Headphones Model 82,23,8,52,2.11,92,16.47,35.23,32.73,35.64,36.25,Ultra-Light,Safe,Headphones
Bluetooth Speaker Model 413,25,12,64,1.81,89,12.99,34.33,33.73,41.6,27.88,Ultra-Light,Safe,Bluetooth Speaker
Tablet Model 204,20,14,29,0.81,97,22.09,37.59,34.63,42.71,32.88,Ultra-Light,Safe,Tablet
Tablet Model 458,23,2,0,1.37,56,35.22,21.26,22.34,33.78,52.14,Ultra-Light,Safe,Tablet
Headphones Model 442,15,16,55,2.79,50,20.17,16.72,21.33,66.59,38.42,Ultra-Light,Moderate,Headphones
Bluetooth Speaker Model 25,33,10,3,1.83,83,31.9,39.16,34.53,45.93,53.89,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 485,16,7,33,0.56,49,25.54,21.66,19.52,42.57,30.41,Ultra-Light,Moderate,Headphones
Tablet Model 480,47,10,15,0.98,11,34.99,18.1,21.55,101.89,41.74,Ultra-Light,Moderate,Tablet
Laptop Model 28,38,4,84,0.89,83,7.03,37.45,34.92,39.16,13.69,Ultra-Light,Safe,Laptop
Laptop Model 352,15,9,55,2.7,76,17.52,23.88,26.1,24.38,40.08,Ultra-Light,Safe,Laptop
Laptop Model 178,11,16,45,3.0,73,21.0,22.49,25.65,48.74,44.87,Ultra-Light,Safe,Laptop
Tablet Model 127,23,13,20,2.33,6,34.8,16.94,12.45,78.72,52.07,Ultra-Light,Moderate,Tablet
Bluetooth Speaker Model 243,57,16,34,2.96,34,28.18,33.77,32.01,91.6,50.51,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 437,24,20,50,2.12,71,19.17,28.9,30.83,61.72,36.43,Ultra-Light,Safe,Laptop
Smartphone Model 93,38,5,12,2.61,4,37.57,12.56,15.16,84.61,55.7,Ultra-Light,Moderate,Smartphone
Smartphone Model 344,39,6,18,2.3,48,31.18,28.88,26.8,64.74,49.62,Ultra-Light,Moderate,Smartphone
Smartwatch Model 444,42,6,99,2.1,8,10.76,13.24,17.88,91.05,18.5,Ultra-Light,Moderate,Smartwatch
Bluetooth Speaker Model 449,17,16,64,1.51,91,12.61,32.16,32.47,36.99,26.72,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 263,14,9,85,0.48,75,7.29,25.37,25.83,33.44,8.48,Ultra-Light,Safe,Bluetooth Speaker
Smartphone Model 377,52,18,34,1.68,67,24.11,34.75,39.2,70.12,39.77,Ultra-Light,Safe,Smartphone
Smartphone Model 206,22,12,57,1.22,16,22.03,13.47,14.52,69.94,27.06,Ultra-Light,Moderate,Smartphone
Smartphone Model 351,23,7,41,0.92,93,18.95,33.38,32.91,30.66,31.54,Ultra-Light,Safe,Smartphone
